query,rank,書名,分類,score,bm25_score,exact_hits,similar_hits
"心理學,成長",1,給不小心就會太焦慮的你：摘下「窮忙濾鏡」╳擺脫「不安迴圈」，找回自己的人生,心理學,1.925,2.198207,1,1
"心理學,成長",2,故事裡的心理學（上）：潛意識與永恆少年,心理學,1.764,5.527361,0,2
"心理學,成長",3,詮釋現象心理學,心理學,1.666,4.688165,0,2
"心理學,成長",4,心理學（含諮商與輔導）（含概要）,國考用書,1.664,4.387737,0,2
"心理學,成長",5,強化動機 承諾改變：動機式晤談實務工作手冊,心理學,1.0,0.0,1,0
"心理學,成長",6,99%的人輸在不會表達：話說對了，事就成了。公司裡該怎麼說話？麻煩就沒了。,工作‧職場,1.0,0.848795,1,0
"心理學,成長",7,结构主义,社會學,1.0,3.283866,1,0
"心理學,成長",8,活出你的原廠設定：正視內在渴望，完整接納最初始的自己！,勵志,1.0,1.574957,1,0
"心理學,成長",9,犯罪學（含概要）,社會學,1.0,3.396404,1,0
"心理學,成長",10,說服自己，就是最聰明的談判力：哈佛頂尖談判專家最強效的溝通心理學,溝通‧談判,1.0,0.0,1,0
