source_title,bookq_mode_bm25,bookq_mode_cosine,rank,書名,分類,score,source_hits,match_count,bm25_score,cosine_score,title_sim,type_sim,bm25_norm,cosine_norm
一億元的分手費,tags,tags,1,我們為何不愛了？：走入愛情諮商室，克服脆弱、孤獨與背叛，找回彼此最動人的模樣,心理學,5.506,1,8,30.789589,0.551491,0.332112,0.32942,0.789477,0.014141
一億元的分手費,tags,tags,2,人間失格,日本文學,4.992,1,7,30.020934,0.538748,0.392249,1.0,0.769768,0.059861
一億元的分手費,tags,tags,3,愛的能量：活化親密關係的能量療法,兩性,4.796,1,7,0.0,0.12766,0.288075,0.206091,0.0,0.12766
一億元的分手費,tags,tags,4,人间失格,日本文學,4.494,1,7,13.224579,0.504824,0.30119,1.0,0.339092,0.042069
一億元的分手費,tags,tags,5,斜陽：我深愛著與這世界戰鬥到底的你，太宰治經典名作選,日本文學,4.464,1,6,14.575169,0.541687,0.187212,1.0,0.373722,0.019346
一億元的分手費,tags,tags,6,心理能量使用說明書：安度靈魂暗夜，迎來豐盛人生,勵志,4.409,1,6,19.239972,0.439053,0.191126,0.169509,0.493333,0.146351
一億元的分手費,tags,tags,7,自轉公轉,日本文學,4.359,1,6,21.478905,0.604583,0.27059,1.0,0.550741,0.060458
一億元的分手費,tags,tags,8,乘風破浪的蛋黃酥：擁抱無可救藥的樂觀,勵志,4.225,1,6,7.761579,0.409567,0.273799,0.169509,0.199015,0.068261
一億元的分手費,tags,tags,9,相親35次，煩到離家出走逃去美國，最後卻變成僧侶回來了！,兩性,3.668,1,5,12.230238,0.591636,0.331678,0.206091,0.313596,0.031139
一億元的分手費,tags,tags,10,給大人的童話心理學：解析童話裡的人性，66則心理學破除愛情×職場×友誼的煩惱！,心理學,3.665,1,5,14.634461,0.509821,0.243164,0.32942,0.375243,0.028323
