source_title,bookq_mode_bm25,bookq_mode_cosine,rank,書名,分類,score,source_hits,match_count,bm25_score,cosine_score,bm25_norm,cosine_norm,title_sim,type_sim
一億元的分手費,tags,tags,1,我們為何不愛了？：走入愛情諮商室，克服脆弱、孤獨與背叛，找回彼此最動人的模樣,心理學,5.506,1,8,30.7896,0.5509,0.7895,0.0141,0.3321,0.3294
一億元的分手費,tags,tags,2,人間失格,日本文學,4.992,1,7,30.0209,0.5387,0.7698,0.0599,0.3921,1.0
一億元的分手費,tags,tags,3,愛的能量：活化親密關係的能量療法,兩性,4.796,1,7,0.0,0.1277,0.0,0.1277,0.2881,0.2061
一億元的分手費,tags,tags,4,人间失格,日本文學,4.494,1,7,13.2246,0.5049,0.3391,0.0421,0.3012,1.0
一億元的分手費,tags,tags,5,斜陽：我深愛著與這世界戰鬥到底的你，太宰治經典名作選,日本文學,4.464,1,6,14.5752,0.5417,0.3737,0.0193,0.1872,1.0
一億元的分手費,tags,tags,6,心理能量使用說明書：安度靈魂暗夜，迎來豐盛人生,勵志,4.409,1,6,19.24,0.4387,0.4933,0.1462,0.1912,0.1695
一億元的分手費,tags,tags,7,自轉公轉,日本文學,4.359,1,6,21.4789,0.6046,0.5507,0.0605,0.2706,1.0
一億元的分手費,tags,tags,8,乘風破浪的蛋黃酥：擁抱無可救藥的樂觀,勵志,4.225,1,6,7.7616,0.4096,0.199,0.0683,0.2738,0.1695
一億元的分手費,tags,tags,9,相親35次，煩到離家出走逃去美國，最後卻變成僧侶回來了！,兩性,3.668,1,5,12.2302,0.5916,0.3136,0.0311,0.3317,0.2061
一億元的分手費,tags,tags,10,給大人的童話心理學：解析童話裡的人性，66則心理學破除愛情×職場×友誼的煩惱！,心理學,3.665,1,5,14.6345,0.5098,0.3752,0.0283,0.2432,0.3294
